<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCHF,20251105,082900,0.93017,0.93024,0.93017,0.93022,52760000
EURCHF,20251105,083000,0.93024,0.9303,0.93022,0.93027,63700000
EURCHF,20251105,083100,0.93026,0.93031,0.93026,0.93028,53570000
EURCHF,20251105,083200,0.93028,0.93034,0.93028,0.93028,75790000
EURCHF,20251105,083300,0.9303,0.93039,0.9303,0.93039,72120000
EURCHF,20251105,083400,0.93039,0.93044,0.93037,0.93044,36690000
EURCHF,20251105,083500,0.93044,0.93047,0.93041,0.93041,55630000
EURCHF,20251105,083600,0.93042,0.93043,0.93037,0.93037,41830000
EURCHF,20251105,083700,0.93039,0.93041,0.93037,0.93041,18600000
EURCHF,20251105,083800,0.93039,0.93039,0.93022,0.93022,53270000
EURCHF,20251105,083900,0.93022,0.93025,0.93019,0.93025,55700000
EURCHF,20251105,084000,0.93026,0.93026,0.9302,0.9302,20980000
EURCHF,20251105,084100,0.9302,0.93022,0.93016,0.93017,37160000
EURCHF,20251105,084200,0.93017,0.93021,0.93017,0.93021,23760000
EURCHF,20251105,084300,0.9302,0.93021,0.93018,0.93018,43720000
EURCHF,20251105,084400,0.93017,0.93021,0.93012,0.93016,65140000
EURCHF,20251105,084500,0.93017,0.93022,0.93015,0.93015,78980000
EURCHF,20251105,084600,0.93016,0.93019,0.93014,0.93019,41980000
EURCHF,20251105,084700,0.93019,0.93025,0.93017,0.93024,55170000
EURCHF,20251105,084800,0.93024,0.9304,0.93024,0.93031,72280000
EURCHF,20251105,084900,0.93031,0.93039,0.93031,0.93035,79680000
EURCHF,20251105,085000,0.93035,0.93054,0.93034,0.93052,96500000
EURCHF,20251105,085100,0.93051,0.93054,0.93046,0.93047,47430000
EURCHF,20251105,085200,0.93045,0.93048,0.93038,0.9304,86140000
EURCHF,20251105,085300,0.9304,0.93041,0.93036,0.93039,43560000
EURCHF,20251105,085400,0.93039,0.93053,0.93039,0.93048,79820000
EURCHF,20251105,085500,0.93049,0.93062,0.93048,0.93062,70100000
EURCHF,20251105,085600,0.93062,0.93068,0.93058,0.93061,54920000
EURCHF,20251105,085700,0.9306,0.93066,0.93055,0.93066,92700000
EURCHF,20251105,085800,0.93064,0.93068,0.93058,0.93064,112910000
EURCHF,20251105,085900,0.93061,0.93072,0.93054,0.93054,101390000
EURCHF,20251105,090000,0.93054,0.93057,0.93048,0.93052,100260000
EURCHF,20251105,090100,0.93048,0.93053,0.93045,0.93049,78610000
EURCHF,20251105,090200,0.93048,0.93055,0.93046,0.93052,53060000
EURCHF,20251105,090300,0.93051,0.93059,0.9305,0.93058,74490000
EURCHF,20251105,090400,0.93059,0.9306,0.93049,0.93049,49810000
EURCHF,20251105,090500,0.9305,0.93051,0.93035,0.93037,59590000
EURCHF,20251105,090600,0.93036,0.93042,0.93033,0.93041,30820000
EURCHF,20251105,090700,0.93041,0.93045,0.93034,0.93035,62820000
EURCHF,20251105,090800,0.93036,0.93046,0.93033,0.93045,85530000
EURCHF,20251105,090900,0.93045,0.93061,0.93044,0.9306,41680000
EURCHF,20251105,091000,0.9306,0.9307,0.9306,0.93065,25810000
EURCHF,20251105,091100,0.93064,0.9307,0.93061,0.93062,44670000
EURCHF,20251105,091200,0.93062,0.93062,0.93052,0.93052,72250000
EURCHF,20251105,091300,0.93051,0.93051,0.93033,0.93035,67060000
EURCHF,20251105,091400,0.93035,0.93047,0.93035,0.93043,42880000
EURCHF,20251105,091500,0.93042,0.93044,0.93038,0.93038,48880000
EURCHF,20251105,091600,0.93037,0.93041,0.93035,0.93039,61750000
EURCHF,20251105,091700,0.93042,0.93045,0.93036,0.93045,91150000
EURCHF,20251105,091800,0.93046,0.93047,0.93043,0.93045,47100000
EURCHF,20251105,091900,0.93045,0.93049,0.93045,0.93048,49940000
EURCHF,20251105,092000,0.93047,0.93047,0.9304,0.93044,50300000
EURCHF,20251105,092100,0.93043,0.9306,0.93042,0.93053,57010000
EURCHF,20251105,092200,0.93054,0.9306,0.93053,0.93058,46420000
EURCHF,20251105,092300,0.93059,0.93067,0.93058,0.93066,48740000
EURCHF,20251105,092400,0.93067,0.93069,0.93065,0.93067,27420000
EURCHF,20251105,092500,0.93067,0.93068,0.93065,0.93067,37110000
EURCHF,20251105,092600,0.9307,0.93079,0.93068,0.93073,64920000
EURCHF,20251105,092700,0.93073,0.93077,0.93072,0.93073,32310000
EURCHF,20251105,092800,0.93073,0.93077,0.93073,0.93075,28560000
EURCHF,20251105,092900,0.93074,0.93075,0.93069,0.93074,38670000
EURCHF,20251105,093000,0.93074,0.93081,0.93069,0.93069,74500000
